Price,Date,County,Ozone,PM2.5,Conductance,PH,oil_count,Gas_Well_Number,positive_tests,fire
316698.1588,2010-01,Los Angeles,0.024905618,13.04883721,484,8.1,7,1.712460064,0,17
283298.8963,2010-02,Los Angeles,0.03233,11.80759878,487.3333333,8.266666667,7,1.712460064,0,16
290000,2010-03,Los Angeles,0.043829439,9.498853868,518.3333333,8.233333333,7,1.712460064,0,17
289710,2010-04,Los Angeles,0.046979452,10.97361111,497.6666667,8.433333333,7,1.712460064,0,15
297410,2010-05,Los Angeles,0.046677201,11.40423729,498,8.5,7,1.712460064,0,17
310870.7075,2010-06,Los Angeles,0.050591837,15.41487603,496.6666667,8.733333333,7,1.712460064,0,13
331420,2010-07,Los Angeles,0.049618056,14.60390625,483,8.5,7,1.712460064,0,12
336420,2010-08,Los Angeles,0.050394678,13.43648294,473.6666667,8.533333333,7,1.712460064,0,18
355900,2010-09,Los Angeles,0.048135632,14.5338843,448.3333333,8.7,7,1.712460064,0,12
333970,2010-10,Los Angeles,0.036374134,13.3080429,471,8.1,7,1.712460064,0,12
302450,2010-11,Los Angeles,0.030989418,11.0604336,484.3333333,8.066666667,7,1.712460064,0,20
328140,2010-12,Los Angeles,0.020773639,13.8557423,478.6666667,8.166666667,7,1.712460064,0,13
305570,2011-01,Los Angeles,0.026564477,12.93575419,485.3333333,8,7,1.712460064,0,20
286100,2011-02,Los Angeles,0.035855882,11.31317365,492.3333333,8.166666667,6,1.712460064,0,22
282170,2011-03,Los Angeles,0.038311947,9.867277487,453.6666667,8.1,6,1,0,20
290600,2011-04,Los Angeles,0.045889724,10.29789157,441,8.066666667,6,1.712460064,0,17
271540,2011-05,Los Angeles,0.051238095,10.87507692,429.6666667,8.3,3,1,0,21
301300,2011-06,Los Angeles,0.048831354,13.53206997,404.5,8.75,8,1.712460064,0,11
317060,2011-07,Los Angeles,0.050244804,14.06492754,384,9.2,6,1.712460064,0,13
312900,2011-08,Los Angeles,0.055464126,14.92222222,395.6666667,8.733333333,13,1.712460064,0,11
330610,2011-09,Los Angeles,0.051902381,18.45275591,420.2,9.3,11,1.712460064,0,14
307970,2011-10,Los Angeles,0.041452273,17.20522193,387.3333333,7.966666667,14,1.712460064,0,11
291260,2011-11,Los Angeles,0.0295,14.2527027,373,7.9,11,1.712460064,0,15
306950,2011-12,Los Angeles,0.023731935,17.3992268,349.6666667,7.9,9,1.712460064,0,9
290900,2012-01,Los Angeles,0.024693182,14.28963134,358,8,7,1.712460064,0,15
272690,2012-02,Los Angeles,0.03323741,11.26725,368.6666667,7.966666667,5,1.712460064,0,18
272920,2012-03,Los Angeles,0.039977427,9.906862745,396.3333333,8.2,10,1.712460064,0,22
286800,2012-04,Los Angeles,0.049264198,10.5723192,402.3333333,8.166666667,13,1.712460064,0,8
282930,2012-05,Los Angeles,0.054481043,13.47890995,395.6666667,8.4,8,1.712460064,0,17
315390,2012-06,Los Angeles,0.053778589,12.5868932,386.3333333,8.6,10,1.712460064,0,13
334190,2012-07,Los Angeles,0.053145933,12.91278409,376,8.7,7,1.712460064,0,20
344770,2012-08,Los Angeles,0.056535545,12.55062972,386.3333333,8.666666667,10,1.712460064,0,22
373020,2012-09,Los Angeles,0.054234624,13.35371901,377.6666667,8.366666667,9,1.712460064,0,23
364810,2012-10,Los Angeles,0.044088692,10.85552764,430,8.166666667,10,1.712460064,0,13
337080,2012-11,Los Angeles,0.03178744,14.20052219,436.3333333,7.8,9,1.712460064,0,15
367400,2012-12,Los Angeles,0.026710396,15.02977099,440,7.866666667,8,1.712460064,0,13
349720,2013-01,Los Angeles,0.028163317,10.834,476.8,8.04,15,1.712460064,0,22
337630,2013-02,Los Angeles,0.035612536,11.22732558,463,8.266666667,6,1.712460064,0,18
340890,2013-03,Los Angeles,0.044666667,14.16838046,460.6666667,8.333333333,11,1.712460064,0,17
361630,2013-04,Los Angeles,0.048062814,11.06005291,459.3333333,8.4,12,1.712460064,0,14
365990,2013-05,Los Angeles,0.053234694,12.59840426,464.3333333,8.7,11,1.712460064,0,19
403760,2013-06,Los Angeles,0.051097324,12.080798,471.2,9.44,10,1.712460064,0,22
421350,2013-07,Los Angeles,0.047050691,12.53592233,474.6,8.88,16,1.712460064,0,17
