,area,date,positive_tests
0,Alameda,2020-02,4
1,Alameda,2020-03,514
2,Alameda,2020-04,1201
3,Alameda,2020-05,2149
4,Alameda,2020-06,4248
5,Alameda,2020-07,7960
6,Alameda,2020-08,6651
7,Alameda,2020-09,3392
8,Alameda,2020-10,3059
9,Alameda,2020-11,8436
10,Alameda,2020-12,26584
11,Alameda,2021-01,22316
12,Alameda,2021-02,7561
13,Alameda,2021-03,3699
14,Alameda,2021-04,3499
15,Alameda,2021-05,2169
16,Alameda,2021-06,1870
17,Alameda,2021-07,10091
18,Alameda,2021-08,16673
19,Alameda,2021-09,7586
20,Alameda,2021-10,4642
21,Alameda,2021-11,4411
22,Alameda,2021-12,25845
23,Alameda,2022-01,102836
25,Alpine,2020-02,0
26,Alpine,2020-03,1
27,Alpine,2020-04,0
28,Alpine,2020-05,2
29,Alpine,2020-06,0
30,Alpine,2020-07,1
31,Alpine,2020-08,0
32,Alpine,2020-09,0
33,Alpine,2020-10,1
34,Alpine,2020-11,21
35,Alpine,2020-12,4
36,Alpine,2021-01,0
37,Alpine,2021-02,2
38,Alpine,2021-03,3
39,Alpine,2021-04,2
40,Alpine,2021-05,0
41,Alpine,2021-06,0
42,Alpine,2021-07,2
43,Alpine,2021-08,1
44,Alpine,2021-09,12
45,Alpine,2021-10,3
46,Alpine,2021-11,4
47,Alpine,2021-12,7
48,Alpine,2022-01,13
50,Amador,2020-02,0
51,Amador,2020-03,4
52,Amador,2020-04,5
53,Amador,2020-05,3
54,Amador,2020-06,21
55,Amador,2020-07,156
56,Amador,2020-08,120
57,Amador,2020-09,31
58,Amador,2020-10,69
59,Amador,2020-11,510
60,Amador,2020-12,2131
61,Amador,2021-01,704
62,Amador,2021-02,221
63,Amador,2021-03,121
64,Amador,2021-04,89
65,Amador,2021-05,45
66,Amador,2021-06,102
67,Amador,2021-07,206
68,Amador,2021-08,785
69,Amador,2021-09,636
70,Amador,2021-10,427
71,Amador,2021-11,226
72,Amador,2021-12,304
73,Amador,2022-01,1982
75,Butte,2020-02,0
76,Butte,2020-03,14
77,Butte,2020-04,11
78,Butte,2020-05,34
79,Butte,2020-06,169
