,County,Date,fire
0,Alameda,2013-06,1
2,Alameda,2013-07,1
6,Alameda,2013-10,1
8,Alameda,2015-05,1
10,Alameda,2015-06,1
14,Alameda,2015-07,1
16,Alameda,2015-08,1
18,Alameda,2016-06,1
20,Alameda,2017-08,1
22,Alameda,2017-09,1
24,Alameda,2017-10,1
25,Alameda,2018-01,1
29,Alameda,2018-04,1
30,Alameda,2018-05,1
32,Alameda,2018-06,1
33,Alameda,2018-07,1
35,Alameda,2018-08,1
37,Alameda,2018-11,1
38,Alameda,2019-01,1
46,Alameda,2019-06,1
48,Alameda,2019-07,1
52,Alameda,2019-08,1
57,Alameda,2019-09,1
59,Alameda,2019-10,1
64,Alpine,2015-06,1
66,Alpine,2016-08,1
68,Amador,2013-06,1
70,Amador,2014-07,1
71,Amador,2014-08,1
72,Amador,2015-06,1
74,Amador,2015-07,1
76,Amador,2016-06,1
80,Amador,2016-08,1
84,Amador,2016-09,1
86,Amador,2017-08,1
87,Amador,2018-01,1
88,Amador,2018-06,1
89,Amador,2018-07,1
90,Amador,2019-01,1
92,Amador,2019-09,1
94,Butte,2013-05,1
98,Butte,2013-06,1
100,Butte,2013-08,1
105,Butte,2013-09,1
106,Butte,2013-10,1
108,Butte,2014-01,1
110,Butte,2014-07,1
113,Butte,2014-08,1
114,Butte,2015-07,1
117,Butte,2015-08,1
118,Butte,2015-09,1
122,Butte,2015-10,1
126,Butte,2016-05,1
130,Butte,2016-06,1
134,Butte,2016-07,1
136,Butte,2016-08,1
140,Butte,2016-09,1
146,Butte,2017-02,1
147,Butte,2017-06,1
151,Butte,2017-07,1
157,Butte,2017-08,1
158,Butte,2017-09,1
161,Butte,2017-10,1
164,Butte,2018-01,1
178,Butte,2018-02,1
180,Butte,2018-04,1
181,Butte,2018-06,1
185,Butte,2018-07,1
189,Butte,2018-08,1
190,Butte,2018-09,1
191,Butte,2018-10,1
193,Butte,2018-11,1
196,Butte,2019-01,1
208,Butte,2019-04,1
209,Butte,2019-05,1
212,Butte,2019-06,1
216,Butte,2019-07,1
217,Butte,2019-09,1
223,Butte,2019-10,1
226,Calaveras,2013-07,1
228,Calaveras,2013-08,1
230,Calaveras,2014-06,1
234,Calaveras,2015-08,1
236,Calaveras,2016-06,1
240,Calaveras,2016-07,1
248,Calaveras,2016-08,1
250,Calaveras,2017-05,1
251,Calaveras,2017-07,1
254,Calaveras,2017-10,1
255,Calaveras,2018-01,1
260,Calaveras,2018-06,1
261,Calaveras,2018-08,1
263,Calaveras,2019-01,1
266,Calaveras,2019-07,1
268,Calaveras,2019-09,1
270,Colusa,2013-06,1
272,Colusa,2017-07,1
273,Colusa,2018-01,1
274,Colusa,2018-07,1
277,Colusa,2019-01,1
280,Colusa,2019-08,1
282,Contra Costa,2013-07,1
286,Contra Costa,2013-09,1
288,Contra Costa,2014-07,1
290,Contra Costa,2015-07,1
292,Contra Costa,2016-07,1
294,Contra Costa,2017-06,1
295,Contra Costa,2017-07,1
297,Contra Costa,2018-01,1
300,Contra Costa,2018-06,1
304,Contra Costa,2018-07,1
307,Contra Costa,2018-08,1
308,Contra Costa,2018-11,1
309,Contra Costa,2019-01,1
318,Contra Costa,2019-06,1
320,Contra Costa,2019-07,1
322,Contra Costa,2019-08,1
325,Contra Costa,2019-10,1
336,Del Norte,2015-07,1
337,Del Norte,2015-08,1
339,Del Norte,2015-11,1
340,Del Norte,2016-09,1
342,Del Norte,2017-06,1
343,Del Norte,2017-07,1
344,Del Norte,2017-09,1
345,Del Norte,2018-01,1
348,El Dorado,2013-07,1
