,Date,Price,County
0,2010-01,383330,Alameda
1,2010-02,410230,Alameda
2,2010-03,432720,Alameda
3,2010-04,407830,Alameda
4,2010-05,472370,Alameda
5,2010-06,474520,Alameda
6,2010-07,458180,Alameda
7,2010-08,440480,Alameda
8,2010-09,424770,Alameda
9,2010-10,444670,Alameda
10,2010-11,434420,Alameda
11,2010-12,412210,Alameda
12,2011-01,363750,Alameda
13,2011-02,392660,Alameda
14,2011-03,420420,Alameda
15,2011-04,390960,Alameda
16,2011-05,415830,Alameda
17,2011-06,415300,Alameda
18,2011-07,420150,Alameda
19,2011-08,407420,Alameda
20,2011-09,390440,Alameda
21,2011-10,391710,Alameda
22,2011-11,396990,Alameda
23,2011-12,383430,Alameda
24,2012-01,340600,Alameda
25,2012-02,360670,Alameda
26,2012-03,372220,Alameda
27,2012-04,412590,Alameda
28,2012-05,430340,Alameda
29,2012-06,459760,Alameda
30,2012-07,473600,Alameda
31,2012-08,466760,Alameda
32,2012-09,454170,Alameda
33,2012-10,460670,Alameda
34,2012-11,467840,Alameda
35,2012-12,463010,Alameda
36,2013-01,466830,Alameda
37,2013-02,451580,Alameda
38,2013-03,523280,Alameda
39,2013-04,573000,Alameda
40,2013-05,593160,Alameda
41,2013-06,604600,Alameda
42,2013-07,614810,Alameda
43,2013-08,607240,Alameda
44,2013-09,604100,Alameda
45,2013-10,588600,Alameda
46,2013-11,607900,Alameda
47,2013-12,585440,Alameda
48,2014-01,559110,Alameda
49,2014-02,572630,Alameda
50,2014-03,623110,Alameda
51,2014-04,656140,Alameda
52,2014-05,680020,Alameda
53,2014-06,695210,Alameda
54,2014-07,688870,Alameda
55,2014-08,691500,Alameda
56,2014-09,652610,Alameda
57,2014-10,659660,Alameda
58,2014-11,670320,Alameda
59,2014-12,645680,Alameda
60,2015-01,610130,Alameda
61,2015-02,651950,Alameda
62,2015-03,713060,Alameda
63,2015-04,742340,Alameda
64,2015-05,763740,Alameda
65,2015-06,750000,Alameda
66,2015-07,765000,Alameda
67,2015-08,735000,Alameda
68,2015-09,731000,Alameda
69,2015-10,710000,Alameda
70,2015-11,730000,Alameda
71,2015-12,731500,Alameda
72,2016-01,700000,Alameda
73,2016-02,715000,Alameda
