,County,Date,Count
0,Kern,2011-01,115
1,Kern,2011-02,146
2,Kern,2011-03,133
3,Kern,2011-04,128
4,Kern,2011-05,137
5,Kern,2011-06,147
6,Kern,2011-07,120
7,Kern,2011-08,141
8,Kern,2011-09,145
9,Kern,2011-10,143
10,Kern,2011-11,157
11,Kern,2011-12,141
12,Kern,2012-01,172
13,Kern,2012-02,142
14,Kern,2012-03,144
15,Kern,2012-04,141
16,Kern,2012-05,148
17,Kern,2012-06,134
18,Kern,2012-07,159
19,Kern,2012-08,150
20,Kern,2012-09,143
21,Kern,2012-10,173
22,Kern,2012-11,122
23,Kern,2012-12,119
24,Kern,2013-01,153
25,Kern,2013-02,156
26,Kern,2013-03,160
27,Kern,2013-04,152
28,Kern,2013-05,162
29,Kern,2013-06,129
30,Kern,2013-07,148
31,Kern,2013-08,129
32,Kern,2013-09,129
33,Kern,2013-10,141
34,Kern,2013-11,130
35,Kern,2013-12,118
36,Kern,2014-01,160
37,Kern,2014-02,144
38,Kern,2014-03,174
39,Kern,2014-04,179
40,Kern,2014-05,181
41,Kern,2014-06,179
42,Kern,2014-07,190
43,Kern,2014-08,160
44,Kern,2014-09,150
45,Kern,2014-10,135
46,Kern,2014-11,157
47,Kern,2014-12,123
48,Kern,2015-01,94
49,Kern,2015-02,91
50,Kern,2015-03,94
51,Kern,2015-04,118
52,Kern,2015-05,108
53,Kern,2015-06,83
54,Kern,2015-07,88
55,Kern,2015-08,123
56,Kern,2015-09,111
57,Kern,2015-10,118
58,Kern,2015-11,101
59,Kern,2015-12,69
60,Kern,2016-01,36
61,Kern,2016-02,37
62,Kern,2016-03,30
63,Kern,2016-04,39
64,Kern,2016-05,37
65,Kern,2016-06,22
66,Kern,2016-07,20
67,Kern,2016-08,17
68,Kern,2016-09,27
69,Kern,2016-10,31
70,Kern,2016-11,35
71,Kern,2016-12,22
72,Kern,2017-01,34
73,Kern,2017-02,35
74,Kern,2017-03,41
75,Kern,2017-04,23
76,Kern,2017-05,59
77,Kern,2017-06,46
78,Kern,2017-07,43
79,Kern,2017-08,47
80,Kern,2017-09,54
81,Kern,2017-10,47
82,Kern,2017-11,65
83,Kern,2017-12,55
84,Kern,2018-01,46
85,Kern,2018-02,49
86,Kern,2018-03,30
