ArchiveYear,County,Extinguished,Started
2013,Tuolumne,2013-09-06T18:30:00Z,2013-08-17T15:25:00Z
2013,Los Angeles,2013-06-08T18:30:00Z,2013-05-30T15:28:00Z
2013,Riverside,2013-07-30T18:00:00Z,2013-07-15T13:43:00Z
2013,Placer,2013-08-30T08:00:00Z,2013-08-10T16:30:00Z
2013,Ventura,2013-05-11T06:30:00Z,2013-05-02T07:01:00Z
2013,Fresno,2013-09-24T20:15:00Z,2013-07-22T22:15:00Z
2013,Riverside,2013-08-12T18:00:00Z,2013-08-07T14:05:00Z
2013,Siskiyou,2013-08-31T06:45:00Z,2013-07-31T22:00:00Z
2013,Humboldt,2013-08-12T12:00:00Z,2013-08-10T11:40:00Z
2013,Tehama,2013-08-29T16:45:00Z,2013-08-23T14:15:00Z
2013,Shasta,2013-09-15T07:30:00Z,2013-09-09T12:32:00Z
2013,San Diego,2013-07-15T06:15:00Z,2013-07-06T12:55:00Z
2013,Tehama,2013-05-09T09:00:00Z,2013-05-01T09:12:00Z
2013,Kern,2013-05-21T19:45:00Z,2013-05-15T12:50:00Z
2013,Ventura,2013-05-21T19:45:00Z,2013-05-15T12:50:00Z
2013,Sonoma,2013-11-27T18:15:00Z,2013-11-22T02:04:00Z
2013,Riverside,2013-05-04T18:30:00Z,2013-05-01T12:38:00Z
2013,Contra Costa,2013-09-14T17:30:00Z,2013-09-08T13:08:00Z
2013,San Diego,2013-05-26T17:45:00Z,2013-05-23T12:20:00Z
2013,Butte,2013-08-22T18:00:00Z,2013-08-16T16:37:00Z
2013,San Diego,2013-10-09T19:00:00Z,2013-10-05T12:45:00Z
2013,Tulare,2013-09-24T20:15:00Z,2013-08-24T14:31:00Z
2013,Santa Barbara,2013-05-30T19:30:00Z,2013-05-27T14:45:00Z
2013,Mariposa,2013-06-26T11:15:00Z,2013-06-16T14:12:00Z
2013,Riverside,2013-08-09T18:45:00Z,2013-08-05T10:10:00Z
2013,San Diego,2013-05-31T06:15:00Z,2013-05-26T12:04:00Z
2013,Tuolumne,2013-08-14T08:30:00Z,2013-08-05T06:00:00Z
2013,Monterey,2013-12-20T20:00:00Z,2013-12-16T00:20:00Z
2013,Kern,2013-08-24T13:45:00Z,2013-08-18T23:12:00Z
2013,Kern,2013-07-22T18:45:00Z,2013-07-19T12:00:00Z
